money	runtime_MS	avgSlowdown		avgStretch	maxStretch	unfairness	unfairnessNorm
13013.100000000013	395619	0.047022283951503825	121.54833020231392		271.87624516582673 	2207.2686138879412	0.8519174732061643
13638.520000000008	123005	0.06689067772346864	83.35925578928997		189.5434782608695 	1509.8736132281622	1.2087134723858581
13637.180000000008	123317	0.06679783302810298	83.3655294317286		189.5434782608695 	1509.7481403793897	1.206856578478545
13015.380000000001	320553	0.060378109118466236	94.48043876828802		216.84416383452475 	1714.661111382352	1.0935660405930312
13265.039999999968	208894	0.09165176153993858	63.870902708633324		142.9346947146373 	1162.3282382277694	1.6640192212833458
13952.080000000002	108201	0.07764188988560985	75.6988634595319		167.4658385093167 	1378.6881905642506	1.4111236169248582
15862.919999999984	63904	0.0775598390836292	75.99177679620031		169.37441403961088 	1383.9642808530607	1.4099656837417678
13950.740000000002	108253	0.07763597735438935	75.69917579826145		167.4658385093167 	1378.6819437896593	1.4110053663004483
13953.420000000002	107941	0.07819942323501407	75.67057161590076		167.4658385093167 	1379.2540274368737	1.4222742839129425
13954.760000000002	107889	0.07849407683209249	75.65571705460202		167.4658385093167 	1379.5511186628482	1.428167355854511
