money	runtime_MS	subdagMeanMoneyFragment	subdagMeanResponseTime	subdagMinResponseTime	subdagMaxResponseTime	unfairness	subdagMeanMakespan	subdagMinMakespan	subdagMaxMakespan
1389.6600000000008	354904781	803.8308114770834	9.744810953995374	8.373234475558297	10.570042392267533 	3.266978117256457	9.744810953995374	8.373234475558297	10.570042392267533
1390.2300000000005	302033576	801.9395411854166	8.551042936581483	7.86392053907867	8.9953922097436 	1.7662398767049794	8.551042936581483	7.86392053907867	8.9953922097436
1391.3700000000006	275541151	794.8222488124999	7.566129140061994	6.927142124046283	8.206374787845391 	2.5190856399752786	7.566129140061994	6.927142124046283	8.206374787845391
1391.9400000000007	274496959	801.4275013187499	7.550579682437659	6.927142124046283	8.175275872596721 	2.456887809477939	7.550579682437659	6.927142124046283	8.175275872596721
1389.0900000000008	355038236	789.8329650687501	9.750048072890163	8.373234475558297	10.574017049930598 	3.2879265928356105	9.750048072890163	8.373234475558297	10.574017049930598
1392.5100000000004	271860600	766.5931183145832	7.400563635586721	6.66608435762185	8.09675783654007 	2.415801579010618	7.400563635586721	6.66608435762185	8.09675783654007
1390.8000000000004	282905351	805.4471372020832	7.955576931504934	7.472230221557101	8.425700957433218 	1.8385991525548233	7.955576931504934	7.472230221557101	8.425700957433218
1393.0800000000004	271860177	766.5485237312499	7.400560486060305	6.66608435762185	8.096745238434405 	2.4157889809049538	7.400560486060305	6.66608435762185	8.096745238434405
1388.520000000001	355741612	791.1148111125001	9.756278856200717	8.373234475558297	10.594965525509753 	3.3128497260778307	9.756278856200717	8.373234475558297	10.594965525509753
1854.5599999999995	46619028	840.5162063722223	5.182898625586729	5.000091758523589	5.366249654224318 	0.7312274682525599	5.182898625586729	5.000091758523589	5.366249654224318
