money	runtime_MS	subdagMeanMoneyFragment	subdagMeanResponseTime	subdagMinResponseTime	subdagMaxResponseTime	unfairness	subdagMeanMakespan	subdagMinMakespan	subdagMaxMakespan
1006.655	1397920391	564.1670373124999	12.339006318459665	1.0840443827779462	23.694027690925427 	45.01470486093223	12.339006318459665	1.0840443827779462	23.694027690925427
1006.2299999999998	1786970837	545.1988720697917	14.972538437654565	1.2427985829660548	28.6335660197664 	54.62650026555425	14.972538437654565	1.2427985829660548	28.6335660197664
1006.1450000000001	2014300908	551.1456161684029	17.908509258569136	1.5161019518224006	34.8544474393531 	65.47036548144675	17.908509258569136	1.5161019518224006	34.8544474393531
1006.0600000000001	2019690908	551.0565427027778	17.909556682179115	1.5161019518224006	34.8544474393531 	65.46617578700683	17.909556682179115	1.5161019518224006	34.8544474393531
1005.8050000000002	2161433070	668.115884959375	20.144999070317095	1.6746962665858265	38.61264424079066 	73.87040184990863	20.144999070317095	1.6746962665858265	38.61264424079066
1005.7200000000003	2166823070	670.1084288277779	20.147397664554124	1.6801009490940466	38.61264424079066 	73.8608074729605	20.147397664554124	1.6801009490940466	38.61264424079066
1005.6350000000002	2298540391	664.2976812465279	20.626317596372306	1.7498853469517834	40.35615453728661 	75.4321483386797	20.626317596372306	1.7498853469517834	40.35615453728661
1005.5500000000003	2303930391	665.7276897729167	20.636562602357586	1.7866756764529845	40.35615453728661 	75.39116831473858	20.636562602357586	1.7866756764529845	40.35615453728661
1005.38	2371723090	635.4444341625001	21.98665149569833	1.8353836182170091	42.13823308176101 	80.58871628135763	21.98665149569833	1.8353836182170091	42.13823308176101
1005.2950000000002	2377113090	640.4158157159723	21.989743322879264	1.8435612325008357	42.13823308176101 	80.5763489726339	21.989743322879264	1.8435612325008357	42.13823308176101
