money	runtime_MS	subdagMeanMoneyFragment	subdagMeanResponseTime	subdagMinResponseTime	subdagMaxResponseTime	unfairness	subdagMeanMakespan	subdagMinMakespan	subdagMaxMakespan
1014.3049999999998	1657649343	641.6857665211807	1.1309266950452472	1.0002920754716982	1.2885054240608167 	0.5222533749698479	1.12356638307236	1.0002920754716982	1.2697366260134164
1014.0500000000001	1738659272	642.5437354895834	1.148816385209959	1.0002920754716982	1.3514751548787787 	0.5938121356286947	1.1414560732370715	1.0002920754716982	1.3327063568313784
1013.965	1744049272	642.5437325854167	1.1498638088199367	1.0002920754716982	1.355664849318689 	0.598001830068605	1.142503496847049	1.0002920754716982	1.3368960512712886
1013.3700000000001	1915249401	579.2645338555556	1.221570628344379	1.0002920754716982	1.4887402164027703 	0.8848291081663748	1.2142103163714915	1.0002920754716982	1.46997141835537
1009.0349999999997	2234445291	568.0972701989583	1.3683466887879114	1.0002920754716982	1.736853991092041 	1.4719333499405043	1.3609863768150239	1.0002920754716982	1.7251336116098843
1008.9499999999998	2239835291	566.6943513378473	1.369394112397889	1.0002920754716982	1.7410436855319513 	1.4761230443804145	1.3620338004250014	1.0002920754716982	1.7251336116098843
1008.8649999999998	2428225275	541.9294015760418	1.406265392975274	1.0002920754716982	1.887480878203484 	1.6236081666899544	1.3989050810023864	1.0002920754716982	1.8687120801560837
1006.2299999999998	4021684984	1060.5065341944446	2.051203406484901	1.0002920754716982	3.126091134793119 	4.203360220728461	2.0422196600119396	1.0002920754716982	3.1008285987454234
1005.9749999999998	4446436919	889.8632633614585	2.2231456021102067	1.0002920754716982	3.456254552308996 	4.891129003229686	2.2141618556372458	1.0002920754716982	3.4309920162613
1005.8899999999995	4449300778	889.8632610947917	2.2237021278119222	1.0002920754716982	3.458480655115858 	4.893355106036548	2.2147183813389613	1.0002920754716982	3.433218119068162
