money	runtime_MS	avgSlowdown		avgStretch	maxStretch	unfairness	unfairnessNorm
24892.704999999864	1435172	0.024542384472962538	40.823158236174		42.73459116260726 	33.25035178098243	0.020089783795833812
24892.619999999868	1436299	0.024469795146873856	40.93228561155197		42.73459116260726 	31.067804273423064	0.018637997274060222
24892.53499999987	1436813	0.024467531438273883	40.940050800819435		42.78587706793713 	32.168439296297265	0.019286498752082343
24892.449999999866	1439767	0.024344835418731583	41.12660998370925		42.78587706793713 	28.437255638500943	0.01683257836123637
24892.354999999865	1443371	0.02436886644041411	41.08446480952296		42.987565889594435 	27.783873475436593	0.01647397249943406
24891.929999999862	1443666	0.02436734034329548	41.08691082773911		42.987565889594435 	27.734953111113576	0.016443450557061447
24891.784999999865	1443683	0.024366939737629562	41.088020870554544		42.99685810937546 	27.85499469606826	0.016512506555125102
24891.584999999865	1443763	0.02436855063664492	41.08504855153485		42.99924072983213 	27.79554831567429	0.016480288574817877
24891.504999999863	1443961	0.024363705268248357	41.09272965950232		42.987565889594435 	27.618576475849395	0.016370749056118957
24891.359999999862	1443978	0.024365143953566325	41.09089976323663		42.99685810937546 	27.797416842426593	0.016476590873860438
