money	runtime_MS	avgSlowdown		avgStretch	maxStretch	unfairness	unfairnessNorm
16058.559999999967	51436	0.10029391088439565	61.81763373852963		136.82748837845227 	1132.0120936096644	1.8328401646173262
13560.10999999999	138652	0.05939242139551162	97.57740425655263		215.29813664596264 	1774.699022696211	1.0778667226285024
13548.049999999981	164712	0.049650675172694086	116.02070855010648		255.7639751552794 	2108.8840993362955	0.9004984892355351
13048.439999999997	191431	0.10077246191768738	59.466020657042534		131.41603187624514 	1085.3104267806025	1.8352825517642968
13005.11999999999	329303	0.05597405474427851	102.80137085935125		226.7262539552326 	1868.3933108308045	1.0150722979092521
13004.54999999999	329551	0.05597452848141678	102.76925698607256		226.89700281260986 	1867.7510333652308	1.0150628231664869
13002.26999999999	389241	0.04737913298989939	121.41944146906567		267.993774170866 	2206.751840696791	0.8592040216783113
13001.69999999999	389291	0.047378925765314966	121.43048993733927		268.02819934372434 	2206.9728100622638	0.8592081661699996
13001.129999999988	389475	0.04737839955999395	121.45958089431346		268.1548839798429 	2207.554629201748	0.85921869027642
13000.559999999989	389800	0.04737655660217448	121.58295116941773		268.378647603422 	2210.022034703832	0.8592555494328092
