money	runtime_MS	avgSlowdown		avgStretch	maxStretch	unfairness	unfairnessNorm
24796.139999999996	683630	0.05381853482202772	18.919153469339584		20.36038528493606 	26.317690002484714	0.10088062519369684
24797.279999999995	656682	0.05569063780632645	18.228245733955077		19.557799584105997 	24.579370985938507	0.09126456602780574
24923.820000000058	180204	0.19315674061853344	5.183621223548447		5.36697170967719 	3.66510362620956	0.1365723752752947
26205.04	79928	0.19313097455556102	5.1843291267882545		5.368733327993559 	3.6702169053836853	0.13672599078953562
26336.360000000008	79915	0.11272244188017318	8.88256250495996		9.199634487434128 	6.310127623198177	0.08007895692545845
30181.95999999999	68892	0.1326870941705696	7.553121558658721		7.930691598677495 	6.5471136043750215	0.11577738885072564
24922.68000000006	180908	0.1930842326761936	5.185717929550318		5.387938769695907 	3.7070377462469937	0.1380225341220913
24798.42	583513	0.06096870895313163	16.48560292944595		17.3786251316778 	16.495083391941016	0.06396787092459225
30771.75999999983	46988	0.19237356568006975	5.205910228804671		5.409152540769003 	4.0003803028171205	0.14782682730754038
24800.129999999983	555700	0.06301692513553626	15.893101969419334		16.550277347159966 	12.255385779588067	0.04864065930143844
