money	runtime_MS	subdagMeanMoneyFragment	subdagMeanResponseTime	subdagMinResponseTime	subdagMaxResponseTime	unfairness	subdagMeanMakespan	subdagMinMakespan	subdagMaxMakespan
972.9100000000004	1391080643	333.79293765208337	1.1779698592556118	1.003751886935929	1.3669870063191154 	1.037934451627993	1.1779698592556118	1.003751886935929	1.3669870063191154
972.9950000000005	1391080643	333.39177231712966	1.1738493462663193	1.003751886935929	1.3439159557661928 	1.0132113736922372	1.1738493462663193	1.003751886935929	1.3439159557661928
972.9950000000005	1391081263	333.39177475694447	1.1738494211016215	1.003751886935929	1.3439159557661928 	1.0132109246804255	1.1738494211016215	1.003751886935929	1.3439159557661928
972.7400000000004	1392980643	345.92945507106487	4.783641965188559	1.003751886935929	18.33834443127962 	29.369661812758142	4.783641965188559	1.003751886935929	18.33834443127962
974.5250000000004	1393881200	322.5664266245371	1.174248997075144	1.0020938434686886	1.3439159557661928 	1.010813468839289	1.174248997075144	1.0020938434686886	1.3439159557661928
967.9800000000006	1772871449	417.82439727384264	7.262984821753785	1.2799599141083857	22.891265626645602 	35.88234744125191	7.262984821753785	1.2799599141083857	22.891265626645602
967.8950000000007	1774771449	429.2643329597222	12.24453800983523	1.2799599141083857	23.36455304107425 	65.7716665697406	12.24453800983523	1.2799599141083857	23.36455304107425
967.7249999999996	2210903016	513.3600423460649	12.409322258570432	1.5999761596454256	28.52504490521327 	64.85335412630253	12.409322258570432	1.5999761596454256	28.52504490521327
967.6399999999996	2214353081	522.0539011731481	12.409738688660982	1.5999761596454256	28.52504490521327 	64.85085554575925	12.409738688660982	1.5999761596454256	28.52504490521327
967.555	2599013018	532.9999998412037	17.304439268168878	1.8408566587727493	34.21554789362823 	92.69411254791144	17.304439268168878	1.8408566587727493	34.21554789362823
