money	runtime_MS	avgSlowdown		avgStretch	maxStretch	unfairness	unfairnessNorm
15463.599999999973	47071	0.19224390437383296	5.21004885700395		5.418707313495738 	2.0824403261448445	0.07683928700314005
15091.080000000009	68880	0.13358316382495541	7.51209257736154		7.929310185753148 	4.106558970009578	0.07364316570591387
15058.820000000007	68975	0.1308079639440543	7.655175503846328		7.94024637140423 	2.818705942831639	0.04816474615967589
15055.420000000006	69062	0.13078862857863244	7.656395751929502		7.950261615105748 	2.8309084236633737	0.048358099813894495
13107.880000000001	79913	0.19313295579958634	5.184272032611885		5.3677257837047 	1.8345375109281559	0.06834318295451516
12461.909999999998	180204	0.19315694740714645	5.183615266997303		5.36697170967719 	1.832492247593363	0.06828411975151727
12460.769999999999	180908	0.19301193152246682	5.187808679001047		5.387938769695907 	1.8744263676307966	0.06973427859831388
12436.83	261833	0.13923410380865683	7.227047476247693		7.798108275398481 	5.5949317683364415	0.10806249506455795
12434.550000000008	304751	0.1207218135169136	8.367296781647246		9.076324584891752 	6.257254355280992	0.09505683708394409
12403.769999999993	403908	0.08843547895919443	11.346779208735956		12.029493292669944 	6.408335728568291	0.05012533266513122
