money	runtime_MS	avgSlowdown		avgStretch	maxStretch	unfairness	unfairnessNorm
3682.164999999998	1369420616	0.005940730679116862	965.2118023533258		2126.42952795031 	17535.617809101233	0.1076917558310987
3681.9349999999977	1369506602	0.005940722988973683	965.2372808465932		2126.5630465838503 	17536.127378966587	0.10769190963396229
3681.7049999999977	1369584725	0.005940721991921942	965.29445495783		2126.673375776397 	17537.27480707469	0.10769246864591946
3680.6849999999986	1369876678	0.005940669107872253	965.4385753478471		2127.1376987577632 	17540.153268991657	0.10769298725599089
3680.6499999999983	1370228783	0.005946123266326685	965.5280644750943		2127.5531164596264 	17543.777800971115	0.10780373709786398
3680.4549999999986	1370236190	0.005940561413562589	965.592413536323		2127.6383493788812 	17543.208694719553	0.1076926176730074
3680.3949999999986	1370367091	0.005946063563931286	965.6997470677836		2127.8675170807446 	17547.211452824897	0.10780493114577193
3680.3099999999986	1370406547	0.005946061656823843	965.7083821609513		2127.9604767080737 	17547.38415468825	0.1078049692879208
3680.114999999999	1370684955	0.0059390703419853344	965.9166677762471		2128.3036164596265 	17549.284763035736	0.10766669543035179
3679.969999999999	1371154519	0.005945972227538021	966.0209477840806		2129.121923913043 	17553.63546715084	0.10780675787363724
