money	runtime_MS	avgSlowdown		avgStretch	maxStretch	unfairness	unfairnessNorm
30975.439999999864	48086	0.1923540399297302	5.199636081922941		5.271126366077975 	1.2578154433793296	0.046498116680484675
30819.999999999887	48413	0.19008898951991354	5.264250955771919		5.573195325535237 	2.3867419910772076	0.08517170722954048
26154.11999999991	79939	0.19847905625536724	5.038635523400824		5.083396785388756 	0.8003291462422437	0.03147562982897556
26105.87999999998	87359	0.18074654079033253	5.540043969337161		5.867870768694191 	3.7619892572738705	0.1208164757401757
26010.74000000001	127729	0.12751953853823828	7.86546216319622		8.579508298109415 	7.87871760837824	0.12756372092123144
24907.29000000002	206090	0.18595996483626304	5.394928424791948		5.718660172054021 	5.537811519259306	0.19081276899067054
24829.77000000004	255475	0.14307644643397788	7.011171503250163		7.60874951460445 	6.842209354286223	0.14013910166136553
24821.220000000056	271585	0.1349400022036112	7.435563751093476		8.088549709066834 	7.8855014447347545	0.1436528440734296
24809.81999999996	325628	0.12595244499332137	8.180150917585442		9.69151718680454 	24.422489457892418	0.40820845744647133
24802.409999999945	391652	0.11086812643630006	9.302287241624587		11.664475838707748 	25.797872213523647	0.34738777664850234
