money	runtime_MS	subdagMeanMoneyFragment	subdagMeanResponseTime	subdagMinResponseTime	subdagMaxResponseTime	unfairness	subdagMeanMakespan	subdagMinMakespan	subdagMaxMakespan
571.1399999999998	199861992	395.0238887229166	53.06929111886065	5.431362609942558	100.81300252421181 	190.48457931276397	53.06929111886065	5.431362609942558	100.81300252421181
572.2799999999996	183648081	387.64746825416665	48.739692033976425	5.010983453946219	92.63449377318152 	174.87797189603324	48.739692033976425	5.010983453946219	92.63449377318152
594.96	81879223	443.2482190013889	49.097617827256464	5.063474668932507	93.14682539580326 	176.1330648198291	49.097617827256464	5.063474668932507	93.14682539580326
798.6400000000007	47168034	570.4301675138889	48.394485471860584	5.000091758523589	91.9626552948348 	173.57757485334798	48.394485471860584	5.000091758523589	91.9626552948348
596.3	81692656	463.6203086069445	48.96309435975389	5.053551446882312	92.9345844494814 	175.61484455425318	48.96309435975389	5.053551446882312	92.9345844494814
573.99	181589493	441.5063297895832	48.26680576581886	5.000029565585796	91.59611506413557 	173.06710480093224	48.26680576581886	5.000029565585796	91.59611506413557
574.56	180377981	434.2212225687499	47.99251815291384	5.000023738429523	90.98501256739816 	171.96997765793725	47.99251815291384	5.000023738429523	90.98501256739816
592.2800000000001	85425343	478.75784491805564	51.1271817366824	5.187803476173248	97.18093573992032 	183.72065058606796	51.1271817366824	5.187803476173248	97.18093573992032
593.62	82360959	450.9180801069445	49.3483362402656	5.063474668932507	93.69485427828145 	177.13593847186561	49.3483362402656	5.063474668932507	93.69485427828145
613.7199999999999	80912272	510.6881467708334	48.492165747792875	5.000055038583214	92.04680987705198 	173.96844283683865	48.492165747792875	5.000055038583214	92.04680987705198
